+----------------------+------+--------+-------+--------------+
|      series id       | year | period | value |  footnotes   |
+----------------------+------+--------+-------+--------------+
| LASST490000000000004 | 2024 |  M10   | 63834 | Preliminary. |
| LASST490000000000004 | 2024 |  M09   | 62515 |              |
| LASST490000000000004 | 2024 |  M08   | 59671 |              |
| LASST490000000000004 | 2024 |  M07   | 56967 |              |
| LASST490000000000004 | 2024 |  M06   | 54270 |              |
| LASST490000000000004 | 2024 |  M05   | 51899 |              |
| LASST490000000000004 | 2024 |  M04   | 50620 |              |
| LASST490000000000004 | 2024 |  M03   | 50585 |              |
| LASST490000000000004 | 2024 |  M02   | 51068 |              |
| LASST490000000000004 | 2024 |  M01   | 50263 |              |
| LASST490000000000004 | 2023 |  M12   | 50023 |              |
| LASST490000000000004 | 2023 |  M11   | 50198 |              |
| LASST490000000000004 | 2023 |  M10   | 50342 |              |
| LASST490000000000004 | 2023 |  M09   | 49845 |              |
| LASST490000000000004 | 2023 |  M08   | 48891 |              |
| LASST490000000000004 | 2023 |  M07   | 47631 |              |
| LASST490000000000004 | 2023 |  M06   | 46335 |              |
| LASST490000000000004 | 2023 |  M05   | 45249 |              |
| LASST490000000000004 | 2023 |  M04   | 44497 |              |
| LASST490000000000004 | 2023 |  M03   | 44175 |              |
| LASST490000000000004 | 2023 |  M02   | 44150 |              |
| LASST490000000000004 | 2023 |  M01   | 44250 |              |
+----------------------+------+--------+-------+--------------+
