,fname,lname,tags,associations,subplots
0,Emin,Agalarov,{'class': 'g-list-item ForeignNational Russiacontacts Manafortindictment MuellerInterest Congress'},"Russian, Campaign","Russia contacts, Manafort indictment"
1,Aras,Agalarov,{'class': 'g-list-item ForeignNational Russiacontacts Manafortindictment MuellerInterest Congress'},"Russian, Campaign","Russia contacts, Manafort indictment"
2,Zainab,Ahmad,{'class': 'g-list-item Mueller Flynnplea Russiacontacts'},Prosecutor,"Flynn plea, Russia contacts"
3,Rinat,Akhmetshin,{'class': 'g-list-item ForeignNational Russiacontacts Manafortindictment MuellerInterest Congress'},Russian-U.S.,"Russia contacts, Manafort indictment"
4,Ekim,Alptekin,{'class': 'g-list-item ForeignNational Flynnplea MuellerInterest'},Turkish,Flynn plea
5,Greg,Andres,{'class': 'g-list-item Mueller Manafortindictment Russiacontacts'},Prosecutor,"Manafort indictment, Russia contacts"
6,Stephen,Anthony ,{'class': 'g-list-item Trump Flynnplea Russiacontacts'},Attorney,"Flynn plea, Russia contacts"
7,Robert,Arakelian,{'class': 'g-list-item Other TheSteeledossier Russiacontacts MuellerInterest Congress'},Campaign,"The Steele dossier, Russia contacts"
8,Andrey,Artemenko,{'class': 'g-list-item ForeignNational Russiacontacts MuellerInterest Congress'},"Ukrainian, Administration",Russia contacts
9,Dzheykhun Nasimi Ogly,Aslanov,{'class': 'g-list-item ForeignNational Indicted Fakenews MuellerInterest Indicted'},"Russian, Internet Research Agency","Indicted, Fake news"
10,Julian,Assange,{'class': 'g-list-item ForeignNational Fakenews Stolenemails Russiacontacts MuellerInterest Congress'},"Australian, Campaign","Fake news, Stolen emails, Russia contacts"
11,Rush,Atkinson,{'class': 'g-list-item Mueller Russiacontacts'},Prosecutor,Russia contacts
12,Petr,Aven,{'class': 'g-list-item ForeignNational TheSteeledossier Manafortindictment Russiacontacts MuellerInterest Congress'},Russian,"The Steele dossier, Manafort indictment, Russia contacts"
13,James,Baker,{'class': 'g-list-item Other TheSteeledossier Congress'},FBI,The Steele dossier
14,Rudi,Bakhtiar,{'class': 'g-list-item Trump Flynnplea MuellerInterest'},Campaign,Flynn plea
15,Scott,Balber,{'class': 'g-list-item Trump Russiacontacts'},Attorney,Russia contacts
16,Steve,Bannon,{'class': 'g-list-item Trump Stolenemails Fakenews Flynnplea Comeyfiring MuellerInterest Congress'},"Campaign, Transition, Administration","Stolen emails, Fake news, Flynn plea, Comey firing"
17,Tom,Barrack ,{'class': 'g-list-item Trump Manafortindictment MuellerInterest'},"Campaign, transition",Manafort indictment
18,Edward,Baumgartner,{'class': 'g-list-item Other TheSteeledossier Russiacontacts MuellerInterest Congress'},Fusion GPS,"The Steele dossier, Russia contacts"
